h	w	p
120	361	1
120	362	1
120	365	1
122	365	1
120	366	1
120	367	1
118	366	1
116	366	1
114	367	1
112	367	1
112	366	1
112	365	1
110	365	1
110	365	1
110	365	1
110	365	1
110	365	1
110	364	1
110	364	1
110	363	1
112	365	1
112	365	1
112	365	1
112	365	1
112	365	1
114	365	1
116	365	1
116	365	1
116	365	1
118	364	1
136	365	1
140	365	1
140	365	1
138	363	1
136	362	1
140	361	1
140	361	1
140	360	1
138	359	1
138	358	1
142	359	1
140	357	1
138	356	1
138	357	1
138	357	1
138	357	1
136	357	1
136	358	1
136	359	1
136	359	1
136	361	1
134	361	1
132	362	1
134	363	1
134	365	1
134	365	1
132	365	1
132	366	1
132	366	1
132	366	1
132	367	1
132	367	1
132	367	1
132	367	1
132	367	1
132	367	1
132	367	1
132	367	1
134	368	1
134	368	1
134	368	1
134	368	1
134	368	1
134	368	1
136	368	1
136	368	1
140	370	1
140	370	1
140	370	1
140	370	1
142	371	1
144	372	1
144	372	1
144	374	1
144	374	1
146	374	1
146	375	1
146	376	1
148	377	1
148	377	1
148	379	1
146	379	1
144	380	1
146	380	1
146	380	1
146	380	1
146	381	1
146	381	1
146	381	1
146	381	1
148	380	1
148	379	1
150	379	1
150	377	1
150	376	1
152	376	1
152	376	1
154	375	1
154	375	1
156	375	1
156	376	1
156	376	1
158	377	1
160	379	1
160	379	1
166	381	1
170	383	1
176	388	1
176	390	1
178	393	1
182	397	1
184	401	1
184	401	1
185	402	1
186	403	1
186	402	1
186	401	1
186	401	1
186	401	1
186	399	1
186	397	1
186	397	1
186	394	1
186	393	1
186	392	1
186	390	1
186	388	1
186	384	1
184	383	1
182	381	1
180	379	1
178	377	1
178	375	1
176	374	1
174	374	1
174	372	1
174	370	1
168	368	1
166	367	1
166	366	1
166	366	1
164	365	1
160	363	1
160	362	1
162	362	1
162	362	1
162	362	1
164	362	1
166	361	1
166	361	1
168	361	1
166	361	1
164	361	1
164	361	1
164	360	1
164	360	1
166	359	1
164	359	1
162	359	1
162	358	1
164	358	1
168	357	1
166	356	1
166	356	1
166	355	1
168	354	1
170	354	1
168	353	1
168	353	1
166	352	1
166	352	1
164	351	1
162	351	1
162	350	1
162	350	1
162	350	1
162	350	1
160	350	1
160	350	1
160	350	1
160	350	1
160	350	1
160	349	1
162	349	1
162	350	1
166	349	1
166	349	1
168	349	1
168	350	1
170	350	1
170	350	1
170	350	1
170	349	1
172	349	1
172	349	1
174	349	1
174	349	1
174	349	1
174	349	1
174	349	1
174	349	1
174	349	1
174	349	1
174	349	1
174	349	1
176	350	1
178	350	1
178	351	1
180	351	1
180	351	1
182	351	1
182	352	1
182	352	1
182	353	1
182	353	1
182	354	1
182	355	1
180	355	1
180	356	1
182	356	1
182	356	1
182	356	1
180	356	1
182	357	1
182	357	1
182	357	1
184	357	1
186	356	1
186	356	1
188	355	1
188	355	1
190	355	1
190	354	1
190	354	1
190	354	1
190	353	1
191	353	1
192	352	1
192	352	1
192	352	1
192	352	1
191	352	1
190	352	1
188	352	1
188	352	1
186	352	1
184	353	1
184	353	1
184	353	1
182	353	1
182	353	1
182	354	1
182	354	1
182	354	1
182	354	1
184	354	1
182	354	1
184	353	1
184	353	1
184	353	1
184	353	1
186	353	1
186	353	1
186	352	1
184	353	1
186	353	1
186	353	1
188	353	1
188	352	1
188	352	1
188	352	1
186	352	1
188	351	1
188	351	1
188	351	1
188	351	1
190	350	1
190	350	1
192	349	1
192	349	1
194	348	1
194	348	1
194	346	1
192	346	1
192	346	1
192	345	1
192	344	1
192	344	1
192	342	1
190	342	1
190	342	1
190	342	1
190	342	1
188	342	1
186	342	1
186	341	1
186	341	1
186	340	1
188	340	1
188	339	1
188	339	1
188	337	1
188	337	1
188	337	1
188	337	1
188	336	1
190	336	1
188	335	1
188	333	1
190	333	1
191	333	1
191	333	1
190	332	1
190	332	1
190	331	1
191	331	1
192	331	1
193	331	1
194	330	1
194	330	1
196	330	1
198	331	1
198	330	1
198	328	1
199	328	1
201	328	1
203	328	1
203	327	1
205	327	1
205	324	1
207	324	1
208	324	1
207	322	1
207	319	1
209	319	1
213	319	1
217	319	1
215	315	1
217	315	1
217	314	1
219	315	1
219	313	1
219	310	1
219	310	1
221	310	1
221	309	1
219	306	1
219	306	1
221	306	1
221	305	1
221	304	1
219	301	1
215	299	1
215	297	1
215	297	1
219	297	1
219	296	1
217	294	1
217	294	1
217	294	1
219	294	1
221	294	1
221	294	2
221	294	3
221	294	3
223	295	3
221	294	3
144	261	3
144	261	3
144	261	3
144	261	3
144	261	2
144	261	2
144	261	2
144	261	2
144	261	2
144	261	2
144	261	2
144	264	2
144	265	2
144	265	2
144	265	2
144	270	2
144	274	2
140	344	2
142	345	2
144	346	3
146	350	3
148	353	2
152	356	1
152	358	1
154	363	1
156	374	2
162	383	2
214	354	2
217	355	2
216	357	2
219	362	2
223	367	2
229	374	3
235	379	3
235	379	3
225	366	3
237	383	4
96	408	4
347	397	3
347	397	3
98	411	3
347	395	3
347	392	4
108	415	4
106	424	3
92	435	3
80	440	4
78	442	4
88	442	3
96	441	2
102	439	2
104	440	2
108	440	2
114	439	2
120	438	2
126	437	2
128	438	2
132	437	2
134	437	2
136	437	3
180	433	2
188	433	3
192	431	2
196	431	4
200	433	3
207	433	4
211	433	5
213	433	5
214	434	4
217	434	5
220	434	5
222	434	4
223	434	3
224	435	4
225	434	3
227	434	3
227	435	3
227	437	4
227	437	6
227	437	4
227	437	4
259	354	4
257	351	2
259	351	2
259	351	3
261	354	2
261	354	1
263	355	1
261	354	1
263	355	1
263	355	2
261	355	2
261	357	3
263	359	3
265	360	3
263	360	4
136	437	4
136	434	4
267	367	3
265	366	3
265	367	3
265	368	3
263	368	3
265	370	3
265	370	3
263	370	3
263	370	3
263	371	3
263	372	3
261	372	3
259	372	3
259	374	3
259	374	3
259	374	3
255	371	3
253	371	3
251	370	3
251	370	3
251	370	3
247	366	3
247	367	3
247	368	3
247	368	3
249	370	3
249	370	3
249	370	3
249	371	3
251	374	3
251	374	3
251	374	3
249	374	3
249	375	3
247	374	3
134	469	3
134	469	3
134	469	3
134	470	3
134	473	3
136	473	3
136	474	3
136	475	3
136	475	3
136	476	3
137	478	3
136	478	3
239	370	3
239	370	3
239	370	3
241	372	3
241	371	3
241	370	3
241	370	3
241	370	3
241	371	3
239	370	3
239	370	3
239	370	3
239	370	3
239	371	3
239	370	3
239	370	3
303	253	3
303	255	3
303	256	3
301	259	3
301	261	3
301	263	3
301	264	3
299	265	3
299	267	3
299	269	3
299	270	3
297	270	3
297	272	3
297	273	3
297	274	3
295	274	3
295	276	3
295	277	3
295	278	3
293	279	3
293	279	3
293	282	3
291	283	3
291	283	3
135	532	3
136	532	3
135	533	3
136	534	3
136	536	3
136	536	3
135	536	3
135	537	3
134	537	3
134	538	3
134	538	3
134	538	3
134	539	3
134	539	3
133	539	3
132	540	3
132	541	3
132	541	3
132	541	3
132	541	3
132	541	3
132	542	3
132	542	3
132	542	3
132	543	3
132	543	3
132	543	3
132	545	3
133	545	3
134	545	3
134	545	3
134	545	3
134	545	3
135	545	3
136	545	3
136	545	4
136	545	4
137	545	4
138	545	4
291	305	4
291	305	4
291	306	4
291	306	4
291	306	4
291	305	4
293	305	4
293	305	4
293	305	4
293	305	4
293	305	4
293	305	4
293	305	4
293	305	4
293	305	4
293	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
295	305	4
96	97	4
96	97	4
96	97	4
96	97	4
96	97	4
96	97	4
96	97	4
97	97	4
97	97	4
97	97	4
97	98	4
97	98	4
97	98	4
97	98	4
97	98	4
297	307	4
297	308	4
297	308	4
297	308	4
297	308	4
297	308	4
98	99	4
98	99	4
98	99	4
98	99	4
98	99	4
98	99	4
98	99	4
98	99	4
98	99	4
99	99	4
